number,values_0,values_1,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchnorm,params_batchsize,params_dropout,params_lr,params_optimizer,state
21,0.008667202200740576,0.9999999403953552,2023-04-07 13:24:39.471010,2023-04-07 13:27:03.377921,0 days 00:02:23.906911,0.0,0.0,1,64,0.0,0.001,Adam,COMPLETE
22,0.009898632833520408,0.9994831681251526,2023-04-07 13:27:03.380657,2023-04-07 13:29:22.822719,0 days 00:02:19.442062,0.0,0.0,1,64,0.0,0.001,Adam,COMPLETE
17,0.014357545603921667,0.9992247819900513,2023-04-07 13:15:16.731740,2023-04-07 13:17:36.877680,0 days 00:02:20.145940,0.0,0.0,1,64,0.1,0.001,Adam,COMPLETE
15,0.011036485414494012,0.9987079501152039,2023-04-07 13:10:31.205528,2023-04-07 13:12:58.639100,0 days 00:02:27.433572,0.0,0.0,1,64,0.1,0.001,Adam,COMPLETE
20,0.08606909136058855,0.9919896125793457,2023-04-07 13:22:21.574571,2023-04-07 13:24:39.468067,0 days 00:02:17.893496,0.0,0.001,1,64,0.2,0.001,Adam,COMPLETE
12,0.055146323141741976,0.9855296611785889,2023-04-07 13:02:23.339526,2023-04-07 13:05:09.010689,0 days 00:02:45.671163,0.0,0.0,0,32,0.0,0.001,Adam,COMPLETE
14,0.05424932573733405,0.9826872944831848,2023-04-07 13:07:54.277215,2023-04-07 13:10:31.201926,0 days 00:02:36.924711,0.0,0.0,0,32,0.1,0.001,Adam,COMPLETE
9,0.08697654721654244,0.9767441749572754,2023-04-07 12:54:31.077151,2023-04-07 12:57:08.367463,0 days 00:02:37.290312,0.0,0.0,0,32,0.0,0.001,Adam,COMPLETE
11,0.09563902503433676,0.9705426096916199,2023-04-07 12:59:48.220309,2023-04-07 13:02:23.336906,0 days 00:02:35.116597,0.0,0.0,0,32,0.1,0.001,Adam,COMPLETE
18,0.44075688035761723,0.9501291513442993,2023-04-07 13:17:36.879588,2023-04-07 13:20:02.878309,0 days 00:02:25.998721,0.0,0.0,1,64,0.1,0.01,SGD,COMPLETE
19,0.280082920535666,0.9462531805038452,2023-04-07 13:20:02.881512,2023-04-07 13:22:21.569561,0 days 00:02:18.688049,0.001,0.0,1,64,0.1,0.001,Adam,COMPLETE
13,0.23763350077158163,0.9413436055183411,2023-04-07 13:05:09.013015,2023-04-07 13:07:54.271056,0 days 00:02:45.258041,0.001,0.0,0,32,0.0,0.001,Adam,COMPLETE
24,0.40009408407523983,0.8909560441970825,2023-04-07 13:31:31.307863,2023-04-07 13:33:48.391934,0 days 00:02:17.084071,0.001,0.0,1,64,0.0,0.001,Adam,COMPLETE
23,1.1288815890589068,0.8488371968269348,2023-04-07 13:29:22.826498,2023-04-07 13:31:31.305069,0 days 00:02:08.478571,0.0,0.01,1,128,0.0,0.01,SGD,COMPLETE
0,0.8061793617537765,0.7785529494285583,2023-04-07 12:33:37.622629,2023-04-07 12:35:55.181882,0 days 00:02:17.559253,0.0,0.01,0,64,0.3,0.01,Adam,COMPLETE
5,1.2114327742207436,0.7599483132362366,2023-04-07 12:45:20.674245,2023-04-07 12:47:33.073412,0 days 00:02:12.399167,0.01,0.001,1,128,0.2,0.001,Adam,COMPLETE
2,0.9020282089217635,0.7338501214981079,2023-04-07 12:38:04.150684,2023-04-07 12:40:47.430589,0 days 00:02:43.279905,0.0,0.01,0,32,0.3,0.01,Adam,COMPLETE
7,1.5283921211957932,0.723514199256897,2023-04-07 12:49:43.527791,2023-04-07 12:51:51.161469,0 days 00:02:07.633678,0.001,0.0,1,256,0.3,0.01,SGD,COMPLETE
10,1.4915562365665909,0.6713178157806396,2023-04-07 12:57:08.369900,2023-04-07 12:59:48.217492,0 days 00:02:39.847592,0.0,0.0,0,32,0.0,0.001,SGD,COMPLETE
16,2.3286786704766946,0.4687338173389435,2023-04-07 13:12:58.642034,2023-04-07 13:15:16.728787,0 days 00:02:18.086753,0.001,0.0,1,64,0.1,0.001,SGD,COMPLETE
6,2.835314219997775,0.3007751703262329,2023-04-07 12:47:33.075990,2023-04-07 12:49:43.525135,0 days 00:02:10.449145,0.01,0.01,1,128,0.1,0.001,SGD,COMPLETE
8,2.575054176582778,0.2124030888080597,2023-04-07 12:51:51.164008,2023-04-07 12:54:31.074256,0 days 00:02:39.910248,0.01,0.01,0,32,0.2,0.001,Adam,COMPLETE
4,3.228368178009987,0.19095607101917267,2023-04-07 12:43:05.663849,2023-04-07 12:45:20.666523,0 days 00:02:15.002674,0.01,0.001,0,256,0.2,0.001,SGD,COMPLETE
3,3.2498111998448604,0.1687338501214981,2023-04-07 12:40:47.432944,2023-04-07 12:43:05.661362,0 days 00:02:18.228418,0.01,0.001,1,64,0.0,0.01,Adam,COMPLETE
1,3.497372418642044,0.02945736236870289,2023-04-07 12:35:55.184238,2023-04-07 12:38:04.148601,0 days 00:02:08.964363,0.01,0.001,0,256,0.2,0.01,Adam,COMPLETE
